INSERT_UPDATE Product;code[unique=true];$parentcategories;$catalogVersion;name[lang=en];description[lang=en];dependentProducts(code,$catalogVersion);unit(code);$prices;toolTipText;dependencyMessage[lang=en];thumbnailURL;thumbnailLargeURL;assetID;lineartURL;dynamicRendering;sortOrder[default=0];scene7Value;exportOnly;$approved;defaultSelected;dependentCategories(code,$catalogVersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusExec.5624;FocusExec-Back-Size;ExemplisCatalog:Staged;5624;Highback;;pieces;0 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
";Freelance.5314;FreelanceBar-SeatWidth;ExemplisCatalog:Staged;5314;""30"""" Seat with Arms - 500 lb. weight capacity"";;pieces;0 USD;""The 30"""" seat with arms option supports up to 500 lbs"," allowing organizations to accommodate all users. "";;;;;;0;0;;;;TRUE;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
";Freelance.5414;FreelanceBar-SeatWidth;ExemplisCatalog:Staged;5414;""42"""" Seat with Arms - 1000 lb. weight capacity"";;pieces;417 USD;""The 42"""" seat with arms option supports up to 1",000 lbs," allowing organizations to  accommodate all users. "";;;;;;0;1;;;;FALSE;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Glove.7531;GloveActive-BackSize;ExemplisCatalog:Staged;7531;Midback;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Glove.7532;GloveActive-BackSize;ExemplisCatalog:Staged;7532;Highback;;pieces;32 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;FALSE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Glove.7541;GloveExec-BackSize;ExemplisCatalog:Staged;7541;Midback;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Glove.7542;GloveExec-BackSize;ExemplisCatalog:Staged;7542;Highback;;pieces;32 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;FALSE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;NonStop.671;NonStopHDStool-BackSize;ExemplisCatalog:Staged;671;Task Size 1 - Heavy Duty (350 lb. weight capacity);;pieces;0 USD;;;;;;;0;0;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;NonStop.672;NonStopHD-BackSize;ExemplisCatalog:Staged;672;Task Size 2 - Heavy Duty (350 lb. weight capacity);;pieces;0 USD;Size 2 chairs are designed to support users up to 350 lbs, allowing organizations to accommodate all users. ;;;;;;0;0;;;;TRUE;NonStopHD-Size2-Mechanism, NonStopHD-Size2-Arm, NonStopHD-Size2-Base, NonStopHD-Size2-Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;NonStop.673;NonStopHD-BackSize;ExemplisCatalog:Staged;673;Task Size 3 - Extra Large (500 lb. weight capacity);;pieces;470 USD;Size 3 chairs are designed to support users up to 500 lbs, allowing organizations to accommodate all users. ;;;;;;0;1;;;;FALSE;NonStopHD-Size3-Mechanism, NonStopHD-Size3-Arm, NonStopHD-Size3-Base, NonStopHD-Size3-Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
